
                Experimental data of parametric heating.

                23-10-12 10:00:45 

                Initial Modulation frequency [MHz]: 1 

                End Modulation frequency [MHz]: 2 

                Modulation Vpp [V]: 0.01 

                369-nm Laser frequency [THz]: 811.291280 

                Trap RF frequency [MHz]: 32.424 

                Exposure time [ms]: 1 

                Average number: 100 

                ==============================================

                frequency[MHz],Photon counts
1.0,1.0
1.02,1.0
1.04,1.0
1.06,1.0
1.08,1.0
1.1,1.0
1.12,1.0
1.14,1.0
1.16,1.0
1.18,1.0
1.2,1.0
1.22,1.0
1.24,1.0
1.26,1.0
1.28,1.0
1.3,1.0
1.32,1.0
1.34,1.0
1.36,1.0
1.38,1.0
1.4,1.0
1.42,1.0
1.44,1.0
1.46,1.0
1.48,1.0
1.5,1.0
1.52,1.0
1.54,1.0
1.56,1.0
1.58,1.0
1.6,1.0
1.62,1.0
1.64,1.0
1.66,1.0
1.68,1.0
1.7,1.0
1.72,1.0
1.74,1.0
1.76,1.0
1.78,1.0
1.8,1.0
1.82,1.0
1.84,1.0
1.86,1.0
1.88,1.0
1.9,1.0
1.92,1.0
1.94,1.0
1.96,1.0
1.98,1.0
2.0,1.0
